Unnamed: 0,year,month,countyfips,bi,pr,th,pdsi,pet,erc,rmin,rmax,tmmn,tmmx,srad,sph,vs,fm1000,fm100,statecode,state,countycode,county,commoditycode,commodity,insuranceplancode,insurancename,stagecode,damagecausecode,damagecause,monthcode,acres,loss
218.0,2001.0,JUL,53025.0,50.633499,0.07344642,251.5904,-1.76011095,6.43748,67.0607341,22.45775,70.34244,286.3629,303.2843,315.97561,0.00671944,3.110039,9.315005,8.303769,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,7.0,97.4,214.0
331.0,2001.0,JUN,53025.0,37.144507,0.6430661,214.6232,-1.91945102,5.3584335,55.9394179,27.00954,76.76281,282.4123,297.3068,294.22233,0.005754879,3.254132,10.635977,10.040845,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,6.0,361.16,2590.0
726.0,2001.0,SEP,53025.0,44.730481,0.0852194,201.3963,-1.85965621,4.0454805,63.1474829,22.43535,72.89883,282.5433,300.2013,201.54016,0.005592551,2.807275,9.566725,9.924569,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,9.0,430.5,13670.0
1158.0,2002.0,JUN,53025.0,40.527787,0.4913082,227.72,-1.660112537,6.1807566,56.880306,24.86521,74.04605,284.3404,300.1628,322.0558,0.006380514,3.59435,10.887359,9.429088,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,41,Frost,6.0,63.936,520.0
1161.0,2002.0,JUN,53025.0,40.527787,0.4913082,227.72,-1.660112537,6.1807566,56.880306,24.86521,74.04605,284.3404,300.1628,322.0558,0.006380514,3.59435,10.887359,9.429088,53.0,WA,25.0,Grant,91.0,BARLEY,42.0,IP,H,11,Drought,6.0,322.8,3130.0
1345.0,2002.0,MAY,53025.0,37.030706,0.3794179,223.4155,-1.626197897,4.6537108,52.308044,27.85716,74.6159,279.3056,293.4222,277.61931,0.004782232,3.56831,11.649113,9.989655,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,5.0,95.904,780.0
1540.0,2002.0,SEP,53025.0,47.581994,0.03067049,209.4347,-1.8834529,3.8152114,61.247493,24.11574,76.98031,280.5877,297.4876,197.92437,0.005120286,3.09694,9.696464,10.890832,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,9.0,634.5,27009.0
1812.0,2003.0,JUL,53025.0,60.658813,0.0,255.4703,1.493536671,7.2605228,77.6590284,16.94055,60.11241,287.811,306.9251,333.0278,0.006122634,3.117424,7.901005,6.8106,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,7.0,428.0,12985.0
1915.0,2003.0,JUN,53025.0,53.056992,0.02999093,234.354,2.252759656,6.6360019,66.8721099,23.03066,68.91228,284.868,301.4466,338.25433,0.00601035,3.36973,9.537473,8.048063,53.0,WA,25.0,Grant,91.0,BARLEY,42.0,IP,H,11,Drought,6.0,268.8,5635.0
2200.0,2003.0,OCT,53025.0,41.434084,0.20906,181.2599,-0.753180668,2.4864314,47.5033945,30.54081,79.51708,277.4867,291.2582,115.54085,0.004775908,4.402856,12.180888,13.52529,53.0,WA,25.0,Grant,91.0,BARLEY,42.0,IP,H,11,Drought,10.0,66.6,2193.0
2357.0,2004.0,AUG,53025.0,41.7818622,0.5951865,192.6797,-1.40909038,5.5081511,61.0724541,26.65644,73.69012,288.3992,304.296,258.0913,0.008279302,3.335947,9.557339,10.330147,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,11,Drought,8.0,215.1,3333.0
2774.0,2004.0,MAY,53025.0,26.5613306,0.8545862,235.1844,-1.819482041,4.5116564,42.4072507,31.22408,83.64919,280.5988,294.5041,270.02291,0.005707026,3.368969,13.359873,11.960676,53.0,WA,25.0,Grant,91.0,BARLEY,42.0,IP,H,11,Drought,5.0,404.48,9010.0
3428.0,2005.0,MAY,53025.0,26.214346,1.344363,171.1174,-2.98782008,4.9803214,40.323788,30.55812,80.90585,282.4022,296.0651,279.644,0.006078183,3.488639,14.213887,12.229542,53.0,WA,25.0,Grant,91.0,BARLEY,90.0,APH,H,42,Freeze,5.0,70.6,853.0
3875.0,2006.0,JUN,53025.0,30.8244967,1.010717,219.5957,3.68762989,5.8527936,43.3173676,31.07676,79.3549,284.4283,300.0143,322.34575,0.00721761,3.138415,14.197538,11.58227,53.0,WA,25.0,Grant,91.0,BARLEY,42.0,IP,H,11,Drought,6.0,66.6,1656.0
