Unnamed: 0,year,month,countyfips,bi,pr,th,pdsi,pet,erc,rmin,rmax,tmmn,tmmx,srad,sph,vs,fm1000,fm100,statecode,state,countycode,county,commoditycode,commodity,insuranceplancode,insurancename,stagecode,damagecausecode,damagecause,monthcode,acres,loss
56.0,2001.0,APR,53023.0,11.727001,2.440722,224.9641,-1.11088452,2.5587256,18.0104351,47.59394,90.54319,275.0055,285.2639,193.64896,0.004657517,3.765263,20.590656,17.067591,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,4.0,2435.57,49452.0
57.0,2001.0,APR,53023.0,11.727001,2.440722,224.9641,-1.11088452,2.5587256,18.0104351,47.59394,90.54319,275.0055,285.2639,193.64896,0.004657517,3.765263,20.590656,17.067591,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,4.0,1262.84,15752.0
158.0,2001.0,FEB,53023.0,9.076299,1.080538,164.2996,-0.30374673,0.8505568,11.1503152,58.6916,92.90763,269.3276,277.9761,102.76986,0.003318578,2.37785,23.407878,19.724793,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,2.0,41.253,1757.7
215.0,2001.0,JUL,53023.0,33.921385,0.4919312,248.8742,-1.7711629,5.5332662,53.3823246,29.50053,69.9751,285.4707,299.8799,293.15178,0.007172211,2.818501,11.552489,9.511473,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,7.0,441.02,2184.0
321.0,2001.0,JUN,53023.0,23.624079,1.090826,215.2165,-1.67656047,4.5381299,40.3530318,39.57178,77.91179,281.4003,293.8836,270.85818,0.006345167,3.371515,13.879166,11.832873,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,6.0,959.61,18740.0
518.0,2001.0,MAY,53023.0,26.114881,1.00505,223.3017,-1.0378644,4.8289357,36.8260677,36.44164,69.10455,279.8326,294.0401,294.553,0.005533293,3.562561,16.311385,11.252746,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,12,Heat,5.0,645.721,25254.7
519.0,2001.0,MAY,53023.0,26.114881,1.00505,223.3017,-1.0378644,4.8289357,36.8260677,36.44164,69.10455,279.8326,294.0401,294.553,0.005533293,3.562561,16.311385,11.252746,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,5.0,1439.986,57550.6
521.0,2001.0,MAY,53023.0,26.114881,1.00505,223.3017,-1.0378644,4.8289357,36.8260677,36.44164,69.10455,279.8326,294.0401,294.553,0.005533293,3.562561,16.311385,11.252746,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,5.0,1464.59,32700.0
723.0,2001.0,SEP,53023.0,45.45133,0.2992442,220.1036,-2.11700221,4.177972,66.3296681,21.93033,63.92553,283.0491,298.6165,204.43735,0.005250613,3.115254,8.824026,8.891553,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,9.0,48.0,470.0
903.0,2002.0,AUG,53023.0,46.187239,0.5233068,249.602,-0.565619776,5.359987,63.67488,23.64273,65.71766,284.5908,299.5644,263.04093,0.006019236,3.300997,9.47966,8.877928,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,11,Drought,8.0,556.5,3880.0
904.0,2002.0,AUG,53023.0,46.187239,0.5233068,249.602,-0.565619776,5.359987,63.67488,23.64273,65.71766,284.5908,299.5644,263.04093,0.006019236,3.300997,9.47966,8.877928,53.0,WA,23.0,Garfield,11.0,WHEAT,44.0,CRC,H,31,Excess Moisture/Precip/Rain,8.0,39.84,331.0
953.0,2002.0,DEC,53023.0,5.860779,2.318528,172.4233,-2.235788911,0.5045188,8.444676,66.85336,97.48591,272.0463,277.946,46.14405,0.003983854,3.441487,22.444738,22.76618,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,R,11,Drought,12.0,437.26,4133.0
1034.0,2002.0,JUL,53023.0,40.971991,0.2193292,218.8348,-0.342112448,6.4114615,57.426622,26.39252,63.31622,286.7308,302.9733,311.0077,0.007313043,3.301604,11.430204,8.335347,53.0,WA,23.0,Garfield,11.0,WHEAT,90.0,APH,H,11,Drought,7.0,14.28,360.0
